Time [sec]	Flow [L/min]	Outlet fluid Temp. [°C]	Inlet fluid Temp. [°C]	Cell cathode 1 Temp. [°C]	Cell cathode 2 Temp. [°C]	Cell cathode 3 Temp. [°C]	Cell anode 1 Temp. [°C]	Cell anode 2 Temp. [°C]	I (8 cells pack) [A]	V_cell [V]
1	0.998	45.319	45.22	45.224	45.143	45.137	45.203	45.154	0	2.5
2	0.998	45.317	45.221	45.225	45.142	45.135	45.203	45.153	0	2.5
3	0.984	45.315	45.219	45.222	45.143	45.133	45.196	45.156	0	2.5
4	1.005	45.313	45.219	45.225	45.146	45.136	45.199	45.154	0	2.5
5	0.998	45.312	45.218	45.223	45.141	45.134	45.195	45.153	0	2.5
6	1.002	45.312	45.219	45.225	45.14	45.137	45.197	45.155	39.7	2.62
7	1.012	45.309	45.221	45.226	45.14	45.136	45.194	45.155	39.9	2.71
8	0.991	45.312	45.222	45.222	45.143	45.137	45.194	45.152	39.9	2.76
9	1.002	45.313	45.22	45.224	45.143	45.134	45.191	45.15	39.9	2.8
10	1.009	45.309	45.221	45.224	45.141	45.129	45.193	45.153	39.9	2.84
11	1.012	45.312	45.222	45.224	45.143	45.131	45.188	45.149	39.9	2.87
12	0.998	45.309	45.223	45.224	45.139	45.127	45.185	45.152	39.9	2.9
13	0.994	45.306	45.221	45.224	45.143	45.129	45.186	45.15	39.9	2.93
14	1.002	45.308	45.221	45.224	45.138	45.127	45.187	45.149	39.9	2.94
15	1.005	45.309	45.224	45.224	45.139	45.131	45.187	45.152	39.9	2.97
16	0.998	45.307	45.222	45.225	45.139	45.128	45.187	45.152	39.9	2.98
17	0.991	45.305	45.222	45.223	45.142	45.132	45.186	45.154	39.9	2.99
18	1.012	45.303	45.224	45.223	45.14	45.129	45.187	45.153	39.9	3.01
19	0.98	45.304	45.224	45.223	45.14	45.131	45.187	45.153	39.9	3.02
20	0.998	45.304	45.224	45.223	45.14	45.13	45.188	45.15	39.9	3.03
21	1.012	45.302	45.221	45.221	45.143	45.129	45.187	45.152	39.9	3.04
22	1.023	45.3	45.225	45.224	45.14	45.132	45.188	45.152	39.9	3.05
23	0.998	45.3	45.223	45.224	45.141	45.128	45.188	45.151	39.9	3.06
24	0.998	45.301	45.224	45.226	45.141	45.13	45.188	45.152	39.9	3.07
25	1.016	45.3	45.223	45.223	45.14	45.134	45.186	45.152	39.9	3.08
26	1.009	45.299	45.228	45.224	45.144	45.132	45.188	45.15	39.9	3.09
27	0.991	45.297	45.224	45.222	45.141	45.132	45.188	45.153	39.9	3.1
28	0.991	45.295	45.226	45.224	45.143	45.131	45.189	45.15	39.9	3.11
29	1.005	45.296	45.226	45.221	45.143	45.133	45.191	45.152	39.9	3.12
30	0.987	45.297	45.226	45.223	45.144	45.133	45.194	45.151	39.9	3.13
31	0.984	45.294	45.223	45.223	45.142	45.134	45.192	45.154	39.9	3.13
32	0.994	45.295	45.227	45.224	45.142	45.133	45.193	45.151	39.9	3.14
33	1.002	45.294	45.227	45.225	45.141	45.133	45.191	45.154	39.9	3.15
34	0.998	45.295	45.225	45.223	45.143	45.131	45.192	45.152	39.9	3.16
35	1.005	45.293	45.227	45.223	45.143	45.133	45.192	45.151	39.9	3.16
36	1.005	45.291	45.225	45.223	45.142	45.134	45.195	45.152	39.9	3.17
37	1.009	45.294	45.228	45.224	45.141	45.132	45.195	45.152	39.9	3.17
38	0.994	45.29	45.225	45.221	45.144	45.134	45.197	45.148	39.9	3.18
39	0.998	45.292	45.226	45.224	45.141	45.135	45.196	45.152	39.9	3.19
40	0.994	45.289	45.228	45.224	45.139	45.134	45.196	45.152	39.9	3.2
41	1.002	45.29	45.226	45.225	45.139	45.136	45.193	45.15	39.9	3.2
42	0.984	45.291	45.227	45.222	45.141	45.134	45.192	45.149	39.9	3.21
43	1.016	45.288	45.226	45.222	45.143	45.135	45.198	45.15	39.9	3.21
44	0.998	45.289	45.228	45.223	45.144	45.134	45.198	45.149	39.9	3.22
45	0.994	45.288	45.225	45.223	45.145	45.137	45.196	45.15	39.9	3.22
46	0.987	45.287	45.226	45.223	45.142	45.135	45.196	45.148	39.9	3.23
47	0.994	45.287	45.224	45.225	45.142	45.131	45.196	45.152	39.9	3.23
48	0.984	45.288	45.224	45.224	45.143	45.134	45.199	45.151	39.9	3.24
49	0.994	45.287	45.224	45.223	45.145	45.133	45.197	45.149	39.9	3.24
50	1.012	45.286	45.224	45.223	45.144	45.136	45.198	45.151	39.9	3.25
51	0.994	45.289	45.222	45.224	45.143	45.133	45.196	45.151	39.9	3.25
52	1.005	45.285	45.226	45.223	45.14	45.135	45.198	45.151	39.9	3.26
53	0.994	45.285	45.224	45.223	45.141	45.135	45.198	45.149	39.9	3.26
54	1.012	45.285	45.223	45.224	45.144	45.135	45.197	45.151	39.9	3.27
55	1.002	45.284	45.225	45.223	45.144	45.136	45.198	45.15	39.9	3.27
